Name,DisplayName,Default,,,Status,DependentServices
SSDPSRV,SSDP Discovery,,,,Stopped,upnphost
SstpSvc,Secure Socket Tunneling Protocol Service,,,,Running,RemoteAccess;RasMan
StateRepository,State Repository Service,,,,Running,camsvc;AppXSvc
StiSvc,Windows Image Acquisition (WIA),,,,Running,
StorSvc,Storage Service,,,,Running,
svsvc,Spot Verifier,,,,Stopped,
swprv,Microsoft Software Shadow Copy Provider,,,,Stopped,
SysMain,SysMain,,,,Running,
SystemEventsBroker,System Events Broker,,,,Running,refsdedupsvc;NaturalAuthentication;Schedule
TapiSrv,Telephony,,,,Running,RemoteAccess;RasMan
TermService,Remote Desktop Services,,,,Stopped,UmRdpService
TextInputManagementService,Text Input Management Service,,,,Running,
Themes,Themes,,,,Running,
TieringEngineService,Storage Tiers Management,,,,Stopped,
TimeBrokerSvc,Time Broker,,,,Running,
TokenBroker,Web Account Manager,,,,Running,
TrkWks,Distributed Link Tracking Client,,,,Running,
TroubleshootingSvc,Recommended Troubleshooting Service,,,,Stopped,
TrustedInstaller,Windows Modules Installer,,,,Stopped,
tzautoupdate,Auto Time Zone Updater,,,,Stopped,
UdkUserSvc_47e64,Udk User Service_47e64,,,,Running,
UmRdpService,Remote Desktop Services UserMode Port Redirector,,,,Stopped,
UnistoreSvc_47e64,User Data Storage_47e64,,,,Stopped,UserDataSvc_47e64;PimIndexMaintenanceSvc_47e64
upnphost,UPnP Device Host,,,,Stopped,
UserDataSvc_47e64,User Data Access_47e64,,,,Stopped,
UserManager,User Manager,,,,Running,XblGameSave;TokenBroker
UsoSvc,Update Orchestrator Service,,,,Running,
VaultSvc,Credential Manager,,,,Stopped,
vds,Virtual Disk,,,,Stopped,
VMAuthdService,VMware Authorization Service,,,,Running,
vmicguestinterface,Hyper-V Guest Service Interface,,,,Stopped,
vmicheartbeat,Hyper-V Heartbeat Service,,,,Stopped,
vmickvpexchange,Hyper-V Data Exchange Service,,,,Stopped,
vmicrdv,Hyper-V Remote Desktop Virtualization Service,,,,Stopped,
vmicshutdown,Hyper-V Guest Shutdown Service,,,,Stopped,
vmictimesync,Hyper-V Time Synchronization Service,,,,Stopped,
vmicvmsession,Hyper-V PowerShell Direct Service,,,,Stopped,
vmicvss,Hyper-V Volume Shadow Copy Requestor,,,,Stopped,
VMnetDHCP,VMware DHCP Service,,,,Running,
VMUSBArbService,VMware USB Arbitration Service,,,,Running,
VMware NAT Service,VMware NAT Service,,,,Running,
VmwareAutostartService,VMware Autostart Service,,,,Stopped,
VSS,Volume Shadow Copy,,,,Stopped,
W32Time,Windows Time,,,,Stopped,
WaaSMedicSvc,WaaSMedicSvc,,,,Stopped,
WalletService,WalletService,,,,Stopped,
WarpJITSvc,Warp JIT Service,,,,Stopped,
wbengine,Block Level Backup Engine Service,,,,Stopped,
WbioSrvc,Windows Biometric Service,,,,Stopped,
Wcmsvc,Windows Connection Manager,,,,Running,WlanSvc;icssvc
wcncsvc,Windows Connect Now - Config Registrar,,,,Stopped,
WdiServiceHost,Diagnostic Service Host,,,,Stopped,
WdiSystemHost,Diagnostic System Host,,,,Running,
WdNisSvc,Microsoft Defender Antivirus Network Inspection Service,,,,Running,
WebClient,WebClient,,,,Stopped,
webthreatdefsvc,Web Threat Defense Service,,,,Running,
webthreatdefusersvc_47e64,Web Threat Defense User Service_47e64,,,,Running,
Wecsvc,Windows Event Collector,,,,Stopped,
